asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2024-12-26,down,223.07,10,low,217.8,15,2.42,False,v1 range R1/S1 pivot
2024-12-31,up,262.12,4,low,217.8,12,20.35,False,v1 uptrend 1.272 ext
2025-01-24,up,272.83,12,high,245.41,5,11.17,False,v1 range R1/S1 pivot
2025-02-05,down,210.29,4,high,248.47,13,15.37,False,v1 downtrend 1.272 ext
2025-02-06,up,259.19,6,high,248.47,12,4.31,False,v1 range R1/S1 pivot
2025-02-28,up,255.11,3,high,239.89,5,6.34,False,v1 uptrend 1.272 ext
2025-03-12,up,260.78,8,low,207.15,1,25.89,False,v1 range R1/S1 pivot
2025-03-18,down,198.24,2,low,209.99,3,5.6,False,v1 downtrend 1.272 ext
2025-03-26,up,258.68,7,high,224.24,3,15.36,False,v1 range R1/S1 pivot
2025-04-03,up,253.83,10,low,168.18,3,50.93,False,v1 range R1/S1 pivot
2025-04-11,down,152.93,8,high,211.64,1,27.74,False,v1 downtrend 1.272 ext
2025-04-17,down,156.36,6,low,188.65,1,17.12,False,v1 downtrend 1.272 ext
2025-04-24,down,143.77,10,high,213.25,5,32.58,False,v1 range R1/S1 pivot
2025-05-06,up,219.94,4,low,192.07,1,14.51,False,v1 uptrend 1.272 ext
2025-05-12,up,219.01,2,high,212.91,2,2.87,False,v1 uptrend 1.272 ext
2025-05-19,down,183.18,5,low,192.53,4,4.86,False,v1 range R1/S1 pivot
2025-05-29,up,222.61,5,low,195.83,1,13.68,False,v1 range R1/S1 pivot
2025-06-03,up,223.27,6,high,205.25,1,8.78,False,v1 range R1/S1 pivot
2025-06-04,up,223.12,6,low,194.13,10,14.93,False,v1 range R1/S1 pivot
2025-06-09,up,207.81,2,low,194.13,7,7.05,False,v1 uptrend 1.272 ext
2025-06-24,up,210.69,3,low,198.3,4,6.25,False,v1 range R1/S1 pivot
2025-07-03,up,199.43,4,high,215.19,1,7.32,False,v1 uptrend 1.272 ext
2025-07-10,up,219.78,3,high,214.74,7,2.35,False,v1 uptrend 1.272 ext
2025-07-14,up,217.63,3,high,214.74,5,1.35,False,v1 uptrend 1.272 ext
2025-07-24,down,191.85,7,low,200.53,6,4.33,False,v1 range R1/S1 pivot
2025-08-06,down,196.66,5,high,234.25,6,16.05,False,v1 downtrend 1.272 ext
2025-08-19,down,187.78,10,low,222.96,2,15.78,False,v1 range R1/S1 pivot
2025-08-26,up,237.32,2,low,226.13,4,4.95,False,v1 uptrend 1.272 ext
2025-09-05,up,226.99,3,low,225.12,3,0.83,False,v1 uptrend 1.272 ext
2025-09-10,up,244.32,5,high,258.29,17,5.41,False,v1 uptrend 1.272 ext
2025-09-15,down,215.6,5,high,258.29,14,16.53,False,v1 range R1/S1 pivot
2025-10-08,down,214.6,11,low,243.1,2,11.72,False,v1 range R1/S1 pivot
2025-10-15,up,262.42,3,high,264.31,4,0.72,True,v1 uptrend 1.272 ext
2025-10-24,up,270.08,2,high,276.3,5,2.25,False,v1 uptrend 1.272 ext
2025-11-05,up,279.56,2,low,265.79,2,5.18,False,v1 uptrend 1.272 ext
2025-11-06,up,279.3,2,low,265.79,1,5.08,False,v1 uptrend 1.272 ext
2025-11-12,up,265.93,1,high,275.95,1,3.63,False,v1 uptrend 1.272 ext
2025-11-18,down,244.02,5,high,287.84,10,15.22,False,v1 range R1/S1 pivot
2025-11-21,down,261.51,2,high,287.84,7,9.15,False,v1 downtrend 1.272 ext
2025-12-08,down,253.29,4,high,279.39,5,9.34,False,v1 range R1/S1 pivot
2025-12-18,down,277.09,1,high,274.68,4,0.88,False,v1 downtrend 1.272 ext
2025-12-23,up,296.84,6,high,274.68,1,8.07,False,v1 range R1/S1 pivot
2025-12-30,up,297.08,7,high,277.09,2,7.21,False,v1 range R1/S1 pivot
2026-01-07,up,277.75,5,low,255.01,1,8.92,False,v1 uptrend 1.272 ext
2026-01-13,up,289.3,8,high,261.11,1,10.8,False,v1 range R1/S1 pivot
2026-01-20,down,253.35,2,high,261.24,5,3.02,False,v1 downtrend 1.272 ext
2026-01-23,down,237.77,2,high,261.24,2,8.98,False,v1 downtrend 1.272 ext
2026-01-30,up,293.87,8,high,280.15,5,4.9,False,v1 range R1/S1 pivot
2026-02-04,up,263.89,3,high,280.15,2,5.8,False,v1 uptrend 1.272 ext
2026-02-11,up,287.94,3,low,254.99,2,12.92,False,v1 uptrend 1.272 ext
2026-02-19,up,286.99,5,high,275.62,5,4.13,False,v1 uptrend 1.272 ext
2026-03-03,up,291.29,5,low,253.23,4,15.03,False,v1 range R1/S1 pivot
2026-03-12,down,247.14,1,low,245.56,6,0.64,True,v1 downtrend 1.272 ext
2026-03-13,down,250.84,1,low,245.56,5,2.15,False,v1 downtrend 1.272 ext
2026-03-25,down,241.09,2,high,256.54,1,6.02,False,v1 downtrend 1.272 ext
2026-03-31,down,242.57,2,high,261.69,3,7.31,False,v1 downtrend 1.272 ext
2026-04-02,down,241.95,3,high,261.69,1,7.54,False,v1 downtrend 1.272 ext
2026-04-09,down,238.98,4,high,275.28,10,13.19,False,v1 range R1/S1 pivot
2026-04-10,up,266.16,1,high,275.28,9,3.31,False,v1 uptrend 1.272 ext
2026-04-28,up,283.45,3,high,302.94,13,6.43,False,v1 uptrend 1.272 ext
2026-04-30,up,278.18,1,high,302.94,11,8.17,False,v1 uptrend 1.272 ext
2026-05-20,up,313.37,2,low,304.76,7,2.83,False,v1 uptrend 1.272 ext
2026-06-04,up,305.26,1,high,317.13,2,3.74,False,v1 uptrend 1.272 ext
2026-06-11,up,320.49,4,high,302.16,6,6.07,False,v1 uptrend 1.272 ext
2026-06-15,up,330.14,6,high,302.16,4,9.26,False,v1 range R1/S1 pivot
2026-06-25,down,283.04,1,high,334.7,15,15.43,False,v1 downtrend 1.272 ext
