asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2011-12-08,down,11.36,2,low,11.3,4,0.53,True,v3 high->low 50% retrace
2011-12-12,up,11.71,1,low,11.3,2,3.63,False,v3 low->high 50% retrace
2011-12-19,up,11.44,1,high,12.24,5,6.54,False,v3 low->high 50% retrace
2011-12-30,down,11.77,2,high,12.79,5,7.97,False,v3 high->low 50% retrace
2012-01-12,down,12.52,1,low,12.52,1,0.0,True,v3 high->low 50% retrace
2012-01-19,up,12.65,1,low,12.55,3,0.8,False,v3 low->high 50% retrace
2012-01-24,down,12.71,1,high,13.59,1,6.48,False,v3 high->low 50% retrace
2012-01-27,up,12.73,5,high,15.74,13,19.12,False,v3 low->high 50% retrace
2012-01-30,down,13.07,3,high,15.74,12,16.96,False,v3 high->low 50% retrace
2012-02-21,down,14.66,4,high,16.4,7,10.61,False,v3 high->low 50% retrace
2012-02-22,up,15.14,1,high,16.4,6,7.68,False,v3 low->high 50% retrace
2012-03-06,down,15.47,1,high,18.23,11,15.14,False,v3 high->low 50% retrace
2012-03-09,up,15.92,1,high,18.23,8,12.67,False,v3 low->high 50% retrace
2012-03-26,down,16.84,4,high,18.59,2,9.41,False,v3 high->low 50% retrace
2012-04-02,down,18.41,1,high,19.26,5,4.41,False,v3 high->low 50% retrace
2012-04-04,up,18.23,1,high,19.26,3,5.35,False,v3 low->high 50% retrace
2012-04-13,down,18.57,1,low,16.6,7,11.87,False,v3 high->low 50% retrace
2012-04-27,up,17.93,1,low,16.71,7,7.3,False,v3 low->high 50% retrace
2012-04-30,down,17.54,1,low,16.71,6,4.97,False,v3 high->low 50% retrace
2012-05-11,up,17.59,2,low,15.62,5,12.61,False,v3 low->high 50% retrace
2012-05-15,down,16.96,1,low,15.62,3,8.58,False,v3 high->low 50% retrace
2012-05-23,up,16.42,2,high,17.39,5,5.58,False,v3 low->high 50% retrace
2012-06-05,down,16.5,1,high,17.6,4,6.25,False,v3 high->low 50% retrace
2012-06-07,up,16.9,1,high,17.6,2,3.98,False,v3 low->high 50% retrace
2012-06-14,down,17.01,1,high,17.65,3,3.63,False,v3 high->low 50% retrace
2012-06-15,up,17.27,1,high,17.65,2,2.15,False,v3 low->high 50% retrace
2012-06-22,down,17.3,1,low,16.92,4,2.25,False,v3 high->low 50% retrace
2012-07-03,up,17.29,3,high,18.54,4,6.74,False,v3 low->high 50% retrace
2012-07-13,down,17.73,1,high,18.4,4,3.64,False,v3 high->low 50% retrace
2012-07-17,up,18.13,1,high,18.4,2,1.47,False,v3 low->high 50% retrace
2012-07-24,down,18.06,1,low,17.05,1,5.92,False,v3 high->low 50% retrace
2012-07-30,up,17.73,1,high,18.69,6,5.14,False,v3 low->high 50% retrace
2012-08-10,down,17.87,3,high,20.27,7,11.84,False,v3 high->low 50% retrace
2012-08-24,down,19.48,2,high,20.45,1,4.74,False,v3 high->low 50% retrace
2012-08-30,down,20.36,2,low,19.74,1,3.14,False,v3 high->low 50% retrace
2012-09-06,up,20.09,1,low,19.7,4,1.98,False,v3 low->high 50% retrace
2012-09-17,up,19.72,4,high,21.18,4,6.89,False,v3 low->high 50% retrace
2012-09-26,down,20.44,2,low,19.54,4,4.61,False,v3 high->low 50% retrace
