ts,Close
2026-04-23,19.309999465942383
2026-04-24,18.709999084472656
2026-04-27,18.020000457763672
2026-04-28,17.829999923706055
2026-04-29,18.809999465942383
2026-04-30,16.889999389648438
2026-05-01,16.989999771118164
2026-05-04,18.290000915527344
2026-05-05,17.3799991607666
2026-05-06,17.389999389648438
2026-05-07,17.079999923706055
2026-05-08,17.190000534057617
2026-05-11,18.3799991607666
2026-05-12,17.989999771118164
2026-05-13,17.8700008392334
2026-05-14,17.260000228881836
2026-05-15,18.43000030517578
2026-05-18,17.81999969482422
2026-05-19,18.059999465942383
2026-05-20,17.440000534057617
2026-05-21,16.760000228881836
2026-05-22,16.700000762939453
2026-05-25,16.59000015258789
2026-05-26,17.010000228881836
2026-05-27,16.290000915527344
2026-05-28,15.739999771118164
2026-05-29,15.319999694824219
2026-06-01,16.049999237060547
2026-06-02,15.770000457763672
2026-06-03,16.059999465942383
2026-06-04,15.399999618530273
2026-06-05,21.510000228881836
2026-06-08,18.920000076293945
2026-06-09,19.8700008392334
2026-06-10,22.219999313354492
2026-06-11,19.440000534057617
2026-06-12,17.68000030517578
2026-06-15,16.200000762939453
2026-06-16,16.40999984741211
2026-06-17,18.440000534057617
2026-06-18,16.399999618530273
2026-06-22,17.280000686645508
2026-06-23,19.489999771118164
2026-06-24,18.6299991607666
2026-06-25,18.889999389648438
2026-06-26,18.40999984741211
2026-06-29,17.649999618530273
2026-06-30,16.450000762939453
2026-07-01,16.59000015258789
2026-07-02,16.149999618530273
2026-07-06,15.569999694824219
2026-07-07,16.1299991607666
2026-07-08,16.899999618530273
2026-07-09,15.84000015258789
2026-07-10,15.029999732971191
2026-07-13,17.15999984741211
2026-07-14,16.5
2026-07-15,15.670000076293945
2026-07-16,16.729999542236328
2026-07-17,18.770000457763672
2026-07-20,18.649999618530273
2026-07-21,17.049999237060547
2026-07-22,16.639999389648438
2026-07-23,18.700000762939453
2026-07-24,18.579999923706055
2026-07-27,18.670000076293945
2026-07-28,18.209999084472656
2026-07-29,20.65999984741211
2026-07-30,17.09000015258789
2026-07-31,15.989999771118164
2026-08-03,15.859999656677246
2026-08-04,16.5
2026-08-05,15.8100004196167
2026-08-06,15.149999618530273
2026-08-07,14.899999618530273
2026-08-10,15.460000038146973
2026-08-11,15.279999732971191
2026-08-12,14.550000190734863
2026-08-13,14.630000114440918
2026-08-14,14.25
2026-08-17,15.1899995803833
2026-08-18,15.84000015258789
2026-08-19,14.890000343322754
2026-08-20,16.010000228881836
2026-08-21,15.130000114440918
2026-08-24,15.850000381469727
2026-08-25,15.449999809265137
2026-08-26,15.210000038146973
2026-08-27,14.510000228881836
2026-08-28,14.430000305175781
2026-08-31,14.920000076293945
2026-09-01,16.34000015258789
2026-09-02,15.199999809265137
2026-09-03,14.319999694824219
2026-09-04,14.529999732971191
2026-09-07,15.300000190734863
2026-09-08,15.720000267028809
2026-09-09,16.459999084472656
2026-09-10,17.84000015258789
2026-09-11,15.670000076293945
