asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2011-12-08,down,11.48,1,low,11.3,4,1.59,False,v4 high->low 38% retrace
2011-12-12,up,11.68,1,low,11.3,2,3.36,False,v4 low->high 38% retrace
2011-12-19,up,11.4,1,high,12.24,5,6.86,False,v4 low->high 38% retrace
2011-12-30,down,11.88,1,high,12.79,5,7.11,False,v4 high->low 38% retrace
2012-01-12,down,12.58,1,low,12.52,1,0.48,True,v4 high->low 38% retrace
2012-01-19,up,12.62,1,low,12.55,3,0.56,False,v4 low->high 38% retrace
2012-01-24,down,12.75,1,high,13.59,1,6.18,False,v4 high->low 38% retrace
2012-01-27,up,12.68,5,high,15.74,13,19.44,False,v4 low->high 38% retrace
2012-01-30,down,13.19,2,high,15.74,12,16.2,False,v4 high->low 38% retrace
2012-02-21,down,14.92,2,high,16.4,7,9.02,False,v4 high->low 38% retrace
2012-02-22,up,15.0,2,high,16.4,6,8.54,False,v4 low->high 38% retrace
2012-03-06,down,15.69,1,high,18.23,11,13.93,False,v4 high->low 38% retrace
2012-03-09,up,15.81,2,high,18.23,8,13.27,False,v4 low->high 38% retrace
2012-03-26,down,17.16,3,high,18.59,2,7.69,False,v4 high->low 38% retrace
2012-04-02,down,18.45,1,high,19.26,5,4.21,False,v4 high->low 38% retrace
2012-04-04,up,18.15,2,high,19.26,3,5.76,False,v4 low->high 38% retrace
2012-04-13,down,18.73,2,low,16.6,7,12.83,False,v4 high->low 38% retrace
2012-04-27,up,17.62,1,low,16.71,7,5.45,False,v4 low->high 38% retrace
2012-04-30,down,17.76,1,low,16.71,6,6.28,False,v4 high->low 38% retrace
2012-05-11,up,17.39,1,low,15.62,5,11.33,False,v4 low->high 38% retrace
2012-05-15,down,17.03,1,low,15.62,3,9.03,False,v4 high->low 38% retrace
2012-05-23,up,16.23,2,high,17.39,5,6.67,False,v4 low->high 38% retrace
2012-06-05,down,16.71,1,high,17.6,4,5.06,False,v4 high->low 38% retrace
2012-06-07,up,16.78,1,high,17.6,2,4.66,False,v4 low->high 38% retrace
2012-06-14,down,17.15,1,high,17.65,3,2.83,False,v4 high->low 38% retrace
2012-06-15,up,17.2,1,high,17.65,2,2.55,False,v4 low->high 38% retrace
2012-06-22,down,17.38,1,low,16.92,4,2.72,False,v4 high->low 38% retrace
2012-07-03,up,17.2,3,high,18.54,4,7.23,False,v4 low->high 38% retrace
2012-07-13,down,17.92,1,high,18.4,4,2.61,False,v4 high->low 38% retrace
2012-07-17,up,18.04,1,high,18.4,2,1.96,False,v4 low->high 38% retrace
2012-07-24,down,18.14,1,low,17.05,1,6.39,False,v4 high->low 38% retrace
2012-07-30,up,17.57,1,high,18.69,6,5.99,False,v4 low->high 38% retrace
2012-08-10,down,18.06,2,high,20.27,7,10.9,False,v4 high->low 38% retrace
2012-08-24,down,19.67,1,high,20.45,1,3.81,False,v4 high->low 38% retrace
2012-08-30,down,20.38,2,low,19.74,1,3.24,False,v4 high->low 38% retrace
2012-09-06,up,20.01,1,low,19.7,4,1.57,False,v4 low->high 38% retrace
2012-09-17,up,19.72,4,high,21.18,4,6.89,False,v4 low->high 38% retrace
2012-09-26,down,20.61,2,low,19.54,4,5.48,False,v4 high->low 38% retrace
2012-10-05,up,20.17,2,low,18.73,2,7.69,False,v4 low->high 38% retrace
2012-10-12,up,19.04,1,low,18.74,1,1.6,False,v4 low->high 38% retrace
2012-10-18,up,18.74,1,low,18.31,1,2.35,False,v4 low->high 38% retrace
2012-10-22,down,19.28,1,low,16.11,12,19.68,False,v4 high->low 38% retrace
2012-10-24,up,18.81,1,low,16.11,10,16.76,False,v4 low->high 38% retrace
2012-11-14,up,16.95,2,low,15.26,2,11.07,False,v4 low->high 38% retrace
2012-11-21,up,15.58,3,high,17.94,7,13.15,False,v4 low->high 38% retrace
2012-12-06,down,16.92,1,low,15.12,7,11.9,False,v4 high->low 38% retrace
2012-12-11,up,16.52,1,low,15.12,4,9.26,False,v4 low->high 38% retrace
2012-12-20,up,15.32,1,low,15.23,4,0.59,False,v4 low->high 38% retrace
2013-01-02,up,15.27,4,low,15.55,3,1.8,False,v4 low->high 38% retrace
2013-01-07,down,16.17,1,low,14.59,6,10.83,False,v4 high->low 38% retrace
2013-01-10,up,16.01,1,low,14.59,3,9.73,False,v4 low->high 38% retrace
2013-01-18,up,14.96,1,high,15.54,2,3.73,False,v4 low->high 38% retrace
