asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2024-12-26,up,252.38,1,low,217.8,15,15.88,False,v3 low->high 50% retrace
2024-12-31,down,251.07,1,low,217.8,12,15.28,False,v3 high->low 50% retrace
2025-01-24,up,238.02,4,high,245.41,5,3.01,False,v3 low->high 50% retrace
2025-02-05,down,231.61,1,high,248.47,13,6.79,False,v3 high->low 50% retrace
2025-02-06,up,234.74,1,high,248.47,12,5.53,False,v3 low->high 50% retrace
2025-02-28,down,236.27,1,high,239.89,5,1.51,False,v3 high->low 50% retrace
2025-03-12,down,235.6,4,low,207.15,1,13.73,False,v3 high->low 50% retrace
2025-03-18,up,223.52,2,low,209.99,3,6.44,False,v3 low->high 50% retrace
2025-03-26,up,211.41,2,high,224.24,3,5.72,False,v3 low->high 50% retrace
2025-04-03,down,217.12,3,low,168.18,3,29.1,False,v3 high->low 50% retrace
2025-04-11,up,196.21,1,high,211.64,1,7.29,False,v3 low->high 50% retrace
2025-04-17,down,189.91,1,low,188.65,1,0.67,True,v3 high->low 50% retrace
2025-04-24,up,200.14,1,high,213.25,5,6.15,False,v3 low->high 50% retrace
2025-05-06,down,200.95,1,low,192.07,1,4.62,False,v3 high->low 50% retrace
2025-05-12,up,202.66,1,high,212.91,2,4.81,False,v3 low->high 50% retrace
2025-05-19,down,202.49,1,low,192.53,4,5.17,False,v3 high->low 50% retrace
2025-05-29,up,202.72,1,low,195.83,1,3.52,False,v3 low->high 50% retrace
2025-06-03,down,197.68,1,high,205.25,1,3.69,False,v3 high->low 50% retrace
2025-06-04,up,199.33,1,low,194.13,10,2.68,False,v3 low->high 50% retrace
2025-06-09,down,200.54,1,low,194.13,7,3.3,False,v3 high->low 50% retrace
2025-06-24,up,199.69,1,low,198.3,4,0.7,False,v3 low->high 50% retrace
2025-07-03,up,200.39,3,high,215.19,1,6.88,False,v3 low->high 50% retrace
2025-07-10,down,206.75,1,high,214.74,7,3.72,False,v3 high->low 50% retrace
2025-07-14,up,210.7,1,high,214.74,5,1.88,False,v3 low->high 50% retrace
2025-07-24,down,210.48,1,low,200.53,6,4.96,False,v3 high->low 50% retrace
2025-08-06,up,207.63,1,high,234.25,6,11.36,False,v3 low->high 50% retrace
2025-08-19,down,217.39,3,low,222.96,2,2.5,False,v3 high->low 50% retrace
2025-08-26,up,228.61,1,low,226.13,4,1.1,False,v3 low->high 50% retrace
2025-09-05,up,227.71,3,low,225.12,3,1.15,False,v3 low->high 50% retrace
2025-09-10,down,233.28,2,high,258.29,17,9.68,False,v3 high->low 50% retrace
2025-09-15,up,232.78,1,high,258.29,14,9.88,False,v3 low->high 50% retrace
2025-10-08,down,241.71,4,low,243.1,2,0.57,True,v3 high->low 50% retrace
2025-10-15,up,250.69,1,high,264.31,4,5.15,False,v3 low->high 50% retrace
2025-10-24,down,253.7,2,high,276.3,5,8.18,False,v3 high->low 50% retrace
2025-11-05,down,270.31,1,low,265.79,2,1.7,False,v3 high->low 50% retrace
2025-11-06,up,270.78,1,low,265.79,1,1.88,False,v3 low->high 50% retrace
2025-11-12,up,266.05,1,high,275.95,1,3.59,False,v3 low->high 50% retrace
2025-11-18,down,270.87,1,high,287.84,10,5.9,False,v3 high->low 50% retrace
