asof,pred_dir,pred_lvl,pred_eta,true_side,true_lvl,true_in,err_pct,hit,why
2024-12-26,up,240.06,5,low,217.8,15,10.22,False,v2 range mid+0.272
2024-12-31,up,255.17,2,low,217.8,12,17.16,False,v2 weak-up 0.786 retrace
2025-01-24,down,227.02,1,high,245.41,5,7.49,False,v2 range mid+0.272
2025-02-05,down,223.71,1,high,248.47,13,9.96,False,v2 weak-down 0.786 retrace
2025-02-06,down,228.94,1,high,248.47,12,7.86,False,v2 range mid+0.272
2025-02-28,up,243.25,1,high,239.89,5,1.4,False,v2 weak-up 0.786 retrace
2025-03-12,down,241.85,5,low,207.15,1,16.75,False,v2 range mid+0.272
2025-03-18,down,186.92,5,low,209.99,3,10.99,False,v2 strong-down 1.618 ext
2025-03-26,down,207.8,2,high,224.24,3,7.33,False,v2 range mid+0.272
2025-04-03,down,213.24,2,low,168.18,3,26.79,False,v2 range mid+0.272
2025-04-11,down,180.18,3,high,211.64,1,14.86,False,v2 weak-down 0.786 retrace
2025-04-17,down,177.48,3,low,188.65,1,5.92,False,v2 weak-down 0.786 retrace
2025-04-24,down,193.89,2,high,213.25,5,9.08,False,v2 range mid+0.272
2025-05-06,up,207.99,2,low,192.07,1,8.29,False,v2 weak-up 0.786 retrace
2025-05-12,up,208.72,1,high,212.91,2,1.97,False,v2 weak-up 0.786 retrace
2025-05-19,down,196.82,2,low,192.53,4,2.23,False,v2 range mid+0.272
2025-05-29,down,197.18,1,low,195.83,1,0.69,True,v2 range mid+0.272
2025-06-03,down,194.88,2,high,205.25,1,5.05,False,v2 range mid+0.272
2025-06-04,down,197.43,1,low,194.13,10,1.7,False,v2 range mid+0.272
2025-06-09,up,203.23,1,low,194.13,7,4.69,False,v2 weak-up 0.786 retrace
2025-06-24,down,196.67,1,low,198.3,4,0.82,True,v2 range mid+0.272
2025-07-03,up,197.41,4,high,215.19,1,8.26,False,v2 weak-up 0.786 retrace
2025-07-10,up,211.58,1,high,214.74,7,1.47,False,v2 weak-up 0.786 retrace
2025-07-14,up,213.27,2,high,214.74,5,0.68,True,v2 weak-up 0.786 retrace
2025-07-24,up,212.8,1,low,200.53,6,6.12,False,v2 range mid+0.272
2025-08-06,down,203.57,3,high,234.25,6,13.1,False,v2 weak-down 0.786 retrace
2025-08-19,up,226.56,1,low,222.96,2,1.61,False,v2 range mid+0.272
2025-08-26,up,241.23,3,low,226.13,4,6.68,False,v2 strong-up 1.618 ext
2025-09-05,up,228.09,3,low,225.12,3,1.32,False,v2 strong-up 1.618 ext
2025-09-10,up,237.37,3,high,258.29,17,8.1,False,v2 weak-up 0.786 retrace
2025-09-15,up,236.94,1,high,258.29,14,8.27,False,v2 range mid+0.272
2025-10-08,up,250.73,2,low,243.1,2,3.14,False,v2 range mid+0.272
2025-10-15,up,255.04,2,high,264.31,4,3.51,False,v2 weak-up 0.786 retrace
2025-10-24,up,277.42,4,high,276.3,5,0.41,True,v2 strong-up 1.618 ext
2025-11-05,up,283.71,3,low,265.79,2,6.74,False,v2 strong-up 1.618 ext
2025-11-06,up,283.12,3,low,265.79,1,6.52,False,v2 strong-up 1.618 ext
2025-11-12,up,266.11,1,high,275.95,1,3.57,False,v2 strong-up 1.618 ext
2025-11-18,up,273.63,1,high,287.84,10,4.94,False,v2 range mid+0.272
2025-11-21,down,267.03,1,high,287.84,7,7.23,False,v2 weak-down 0.786 retrace
2025-12-08,up,282.54,1,high,279.39,5,1.13,False,v2 range mid+0.272
2025-12-18,down,281.2,2,high,274.68,4,2.37,False,v2 weak-down 0.786 retrace
2025-12-23,up,276.39,1,high,274.68,1,0.62,True,v2 range mid+0.272
2025-12-30,up,272.75,1,high,277.09,2,1.57,False,v2 range mid+0.272
2026-01-07,up,276.57,5,low,255.01,1,8.45,False,v2 weak-up 0.786 retrace
2026-01-13,down,260.04,1,high,261.11,1,0.41,False,v2 range mid+0.272
