ticker,trend,k,fade,th,2026-06,2026-06_bh,2026-07,2026-07_bh,2026-08,2026-08_bh,sel
QQQ,rsi50,2.0,True,0.001,1.38,-0.74,1.6,-5.13,4.79,3.01,1.49
QQQ,rsi50,2.0,True,0.003,1.38,-0.74,1.6,-5.13,4.79,3.01,1.49
SPY,ema50,1.5,False,0.001,-1.46,-1.3,-1.88,0.17,1.75,1.77,-1.67
SPY,ema50,1.5,False,0.003,3.04,-1.3,0.76,0.17,-0.41,1.77,1.9
SPY,ema50,1.5,True,0.001,1.17,-1.3,1.51,0.17,-1.83,1.77,1.34
SPY,ema50,1.5,True,0.003,-3.15,-1.3,-0.88,0.17,0.31,1.77,-2.02
SPY,ema50,2.0,False,0.001,-1.46,-1.3,-1.88,0.17,1.75,1.77,-1.67
SPY,ema50,2.0,False,0.003,3.04,-1.3,0.76,0.17,-0.41,1.77,1.9
SPY,ema50,2.0,True,0.001,1.17,-1.3,1.51,0.17,-1.83,1.77,1.34
SPY,ema50,2.0,True,0.003,-3.15,-1.3,-0.88,0.17,0.31,1.77,-2.02
SPY,macd,1.5,False,0.001,1.17,-1.3,-3.88,0.17,-0.54,1.77,-1.35
SPY,macd,1.5,False,0.003,-3.15,-1.3,-0.77,0.17,-0.41,1.77,-1.96
SPY,macd,1.5,True,0.001,-1.46,-1.3,3.63,0.17,0.33,1.77,1.08
SPY,macd,1.5,True,0.003,3.04,-1.3,0.55,0.17,0.31,1.77,1.79
SPY,macd,2.0,False,0.001,1.17,-1.3,-3.88,0.17,-0.54,1.77,-1.35
SPY,macd,2.0,False,0.003,-3.15,-1.3,-0.77,0.17,-0.41,1.77,-1.96
SPY,macd,2.0,True,0.001,-1.46,-1.3,3.63,0.17,0.33,1.77,1.08
SPY,macd,2.0,True,0.003,3.04,-1.3,0.55,0.17,0.31,1.77,1.79
SPY,mom10,1.5,False,0.001,-7.24,-1.3,-2.19,0.17,0.72,1.77,-4.71
SPY,mom10,1.5,False,0.003,-6.1,-1.3,0.98,0.17,-0.41,1.77,-2.56
SPY,mom10,1.5,True,0.001,6.73,-1.3,1.53,0.17,-0.93,1.77,4.13
SPY,mom10,1.5,True,0.003,5.65,-1.3,-1.19,0.17,0.31,1.77,2.23
SPY,mom10,2.0,False,0.001,-7.24,-1.3,-2.19,0.17,0.72,1.77,-4.71
SPY,mom10,2.0,False,0.003,-6.1,-1.3,0.98,0.17,-0.41,1.77,-2.56
SPY,mom10,2.0,True,0.001,6.73,-1.3,1.53,0.17,-0.93,1.77,4.13
SPY,mom10,2.0,True,0.003,5.65,-1.3,-1.19,0.17,0.31,1.77,2.23
SPY,rsi50,1.5,False,0.001,-8.02,-1.3,-2.68,0.17,1.75,1.77,-5.35
SPY,rsi50,1.5,False,0.003,-3.78,-1.3,0.76,0.17,-0.41,1.77,-1.51
SPY,rsi50,1.5,True,0.001,7.96,-1.3,2.15,0.17,-1.83,1.77,5.05
SPY,rsi50,1.5,True,0.003,3.4,-1.3,-0.88,0.17,0.31,1.77,1.26
SPY,rsi50,2.0,False,0.001,-8.02,-1.3,-2.68,0.17,1.75,1.77,-5.35
SPY,rsi50,2.0,False,0.003,-3.78,-1.3,0.76,0.17,-0.41,1.77,-1.51
SPY,rsi50,2.0,True,0.001,7.96,-1.3,2.15,0.17,-1.83,1.77,5.05
SPY,rsi50,2.0,True,0.003,3.4,-1.3,-0.88,0.17,0.31,1.77,1.26
