ticker,strategy,side,target_r,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
NVDA,pullback,long,2.5,B (thin),2,0.5,2.4583547265674874,0.7122208473201077,2.377719064034792,0.0,1,1.0,2.476285516813078,2.476285516813078,99.0,0.0
NVDA,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,breakout,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.060350288217203,0.0,0.0
NVDA,breakout,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,retest,long,2.5,B (thin),12,0.25,2.4807904419887516,-0.07996879572730871,0.8857860145582762,6.334193112555763,4,0.5,1.705396780010343,0.34102515870003125,1.666490130488492,1.0112836678703037
NVDA,retest,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,retest,long,2.5,B (thin),7,0.8571428571428571,2.4721203449122586,1.9682087534820434,14.05597757289801,1.0552607950992474,5,0.6,2.466361515498662,1.0697172860425375,3.608432745067551,1.0219544155635847
AAPL,retest,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,retest,long,2.5,B (thin),4,0.75,2.4756602202861946,1.5996125725329655,7.220963884237027,1.0285303707267226,6,0.0,0.0,-1.0241051078656407,0.0,5.114814019092478
GOOGL,retest,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,retest,long,2.5,B (thin),5,0.4,2.472053731926445,0.3711995652330147,1.6010142267988674,3.0881096376878165,4,0.25,2.456223591899319,-0.15060651875037379,0.8030418189043843,1.0164548167739673
GOOG,retest,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,pullback,long,2.5,B (thin),2,0.5,2.4471590520214708,0.6850748923918921,2.2721801255229166,1.0770092672376865,0,0.0,0.0,0.0,0.0,0.0
MSFT,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,breakout,long,2.5,B (thin),1,0.0,0.0,-1.0965071347569055,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,breakout,short,2.5,B (thin),1,1.0,2.474293857698855,2.474293857698855,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,retest,long,2.5,B (thin),5,0.2,2.4579511515600703,-0.3604531508850039,0.5769544616629605,4.260216905985089,0,0.0,0.0,0.0,0.0,0.0
MSFT,retest,short,2.5,B (thin),7,0.42857142857142855,2.4507470193542877,0.4603939890638881,1.7804264646178716,2.0571644389882664,5,0.2,2.4838226397080163,-0.34069344051687855,0.5931814451010637,3.124142840921723
AMZN,pullback,long,2.5,B (thin),1,1.0,2.3950706862421645,2.3950706862421645,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,pullback,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,breakout,long,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,breakout,short,2.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
