ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
AVGO,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,retest,long,B,11,0.18181818181818182,1.9689191116568225,-0.48461251323583504,0.4248590375705327,5.1952391404098455,8,0.25,1.9750820186001685,-0.2763491040220013,0.6411608003352568,6.1609568693763475
AVGO,retest,short,B (thin),1,1.0,1.9899127502193878,1.9899127502193878,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0330628666272565,0.0,0.0
TSLA,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,retest,long,B (thin),6,0.5,1.9800448762301521,0.4803572090879049,1.9424955475279166,2.0394825685624083,3,0.3333333333333333,1.9805804883937697,-0.01576347968576138,0.9766797588460296,2.027870927451054
TSLA,retest,short,B (thin),1,0.0,0.0,-1.0152076562348562,0.0,0.0,3,0.3333333333333333,1.9948907446996293,-0.019096473017800413,0.9720836308306234,1.0462964037654985
MU,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,2,0.5,1.9831580185639481,0.4740607739878564,1.9160271883336375,0.0
MU,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,breakout,long,B (thin),1,0.0,0.0,-1.027175254284687,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,retest,long,B (thin),4,0.75,1.9892456790574087,1.2365122522282348,5.841056048527681,1.0216880282592866,4,0.5,1.9795450942215478,0.4806690120403893,1.9441478578103681,1.0277666748437506
MU,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BRK-B,pullback,long,B (thin),2,0.0,0.0,-1.0635945247441554,0.0,1.074544272996497,0,0.0,0.0,0.0,0.0,0.0
BRK-B,pullback,short,B (thin),1,1.0,1.9442569579176303,1.9442569579176303,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BRK-B,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BRK-B,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BRK-B,retest,long,B (thin),7,0.14285714285714285,1.8793989386491077,-0.6213594006723425,0.30172173100521177,5.197458544573109,4,0.5,1.8838666008960694,0.39103630147682594,1.709817447194448,1.1223448045983824
BRK-B,retest,short,B (thin),10,0.3,1.9539685243151856,-0.1482633992905525,0.7981311177355311,3.176654998723679,1,0.0,0.0,-1.0378642181842725,0.0,0.0
LLY,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LLY,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LLY,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LLY,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LLY,retest,long,B (thin),10,0.4,1.962285447191404,0.1736359295175361,1.2840538326034134,6.112782493590255,3,0.6666666666666666,1.9833605734503394,0.9825619825275486,3.8926242680874212,1.0190351993180333
LLY,retest,short,B (thin),1,1.0,1.927537712836166,1.927537712836166,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JPM,pullback,long,B (thin),1,0.0,0.0,-1.0606828018383856,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JPM,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JPM,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JPM,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
JPM,retest,long,B (thin),10,0.4,1.969149146097406,0.15612959943921123,1.247224335903341,3.197851325681926,4,0.25,1.9476616716482213,-0.3141003842313153,0.6078724247501228,2.143337037432002
JPM,retest,short,B (thin),1,1.0,1.9565854087882213,1.9565854087882213,99.0,0.0,2,0.0,0.0,-1.0221991098874201,0.0,1.0224750932719777
WMT,pullback,long,B (thin),1,0.0,0.0,-1.0408904425914562,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WMT,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WMT,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
