strategy,side,adx_min,exit,train_n,train_wr,train_exp,train_pf,train_mae,train_mfe,test_n,test_wr,test_exp,test_pf,test_mae,test_mfe
breakout,long,15.0,trail2.0,229,0.3231441048034934,0.462212058877684,1.682505422354509,-1.3711381826488866,2.9033238733823867,98,0.2857142857142857,-0.07118499436608723,0.895640340010084,-1.6111823322268448,2.2991309526839228
breakout,long,15.0,trail2.5,229,0.31877729257641924,0.6298992470499724,1.8868110316743842,-1.4411999467288028,3.2689213031483724,98,0.2653061224489796,-0.15856497918890117,0.7959928564512,-1.7016016916514585,2.5254251912241505
breakout,long,15.0,trail3.0,228,0.2894736842105263,0.690715505576803,1.917266916456241,-1.495005068128003,3.453013202983807,98,0.21428571428571427,0.008222396123374989,1.0101885622759703,-1.7460032059764492,2.898127940301549
breakout,long,15.0,trail3.5,228,0.27631578947368424,0.7148011330465625,1.9230099927342146,-1.5272644177376098,3.542434913657836,98,0.19387755102040816,0.1804137524672209,1.2155817586357975,-1.76024255401404,3.1271620678686816
breakout,long,15.0,fixed3.0,229,0.37554585152838427,0.3580464977664765,1.5562996836928593,-1.346383154625354,1.8877413971690358,98,0.336734693877551,0.22145414795261542,1.321931181250598,-1.5967247279234953,1.7867289815624088
breakout,long,18.0,trail2.0,164,0.2926829268292683,0.40727060672324134,1.57787529899483,-1.4625995940340075,2.7814169695290905,72,0.3333333333333333,0.09363097127958436,1.1492629993679613,-1.443847312831449,2.582097816955378
breakout,long,18.0,trail2.5,164,0.2804878048780488,0.5391903370028717,1.7300899879893967,-1.5364508071154106,3.0782502177157887,72,0.3194444444444444,0.06831585266415151,1.1001001816146918,-1.4957392742447506,2.8901094194129104
breakout,long,18.0,trail3.0,164,0.25,0.5683752381899633,1.7196002131088424,-1.5924129186818878,3.20263566127003,72,0.25,0.28065562761243235,1.3904568252986473,-1.552021557316815,3.3827066293585433
breakout,long,18.0,trail3.5,164,0.23780487804878048,0.5606744767471397,1.6904866119242656,-1.6254599852929168,3.277725859211893,72,0.2361111111111111,0.5225682428743474,1.6934848110037897,-1.5714028921457581,3.6944475252138065
breakout,long,18.0,fixed3.0,164,0.3475609756097561,0.2647283531872722,1.3916553003382295,-1.4231476435350359,1.7866773025754135,72,0.3888888888888889,0.4139831172240326,1.6540243647114157,-1.3896201170107774,1.9309565814553171
breakout,long,20.0,trail2.0,124,0.31451612903225806,0.6041162419645187,1.926472173823666,-1.3969666413257016,2.996040528358688,50,0.38,0.19939921206313282,1.3182693617455046,-1.49231345955525,2.894930041892632
breakout,long,20.0,trail2.5,124,0.29838709677419356,0.7024941843085193,2.0155210688620553,-1.4573423130115837,3.2695445463115766,50,0.32,0.20473441189567265,1.296640409237862,-1.5439144792337884,3.2833777779217272
breakout,long,20.0,trail3.0,124,0.2661290322580645,0.7238932642510766,1.9791247204659832,-1.5014144912678176,3.396088914645848,50,0.3,0.5899206215297068,1.833515756649104,-1.5733420823363469,3.9927177602434396
breakout,long,20.0,trail3.5,124,0.2661290322580645,0.7366107226374017,1.9714315263975286,-1.5366928932245307,3.4954017570850864,50,0.26,0.5693658043607889,1.7646584862030108,-1.590239001254234,4.0726252971873205
breakout,long,20.0,fixed3.0,124,0.3548387096774194,0.31541451592602815,1.4726044175504192,-1.3836395476750514,1.8524226037348532,50,0.42,0.5671746569862275,1.9412253252439895,-1.3867306946153315,2.073316354105714
breakout,long,22.0,trail2.0,93,0.3225806451612903,0.7075720271989395,2.1001155446555453,-1.3784007722228402,3.1679323016164083,36,0.3888888888888889,0.21126495397246298,1.3459915263884652,-1.4730780312014675,2.908077847352086
breakout,long,22.0,trail2.5,93,0.3118279569892473,0.8224046577596652,2.201159643500557,-1.4545674511414386,3.4725681245897984,36,0.3333333333333333,0.26396701508777,1.4018209107378643,-1.542678405979647,3.3007161598396997
breakout,long,22.0,trail3.0,93,0.26881720430107525,0.8444823551655967,2.1379020212014352,-1.4998000024820093,3.593367240156108,36,0.3333333333333333,0.5791967573441714,1.8681477240986981,-1.5570056454390921,4.104939803383709
breakout,long,22.0,trail3.5,93,0.26881720430107525,0.7350418004667696,1.9641765720229487,-1.5297566434052374,3.612724076615003,36,0.2777777777777778,0.45136973857071117,1.6314895157127411,-1.577720462400276,4.187401006054078
breakout,long,22.0,fixed3.0,93,0.3548387096774194,0.33061024505391423,1.4970134695837172,-1.3623306854790045,1.8923448283065163,36,0.4444444444444444,0.6977833980534591,2.206177424889532,-1.4329424338505614,2.1524089072714543
breakout,long,25.0,trail2.0,42,0.3333333333333333,0.6756007882677832,2.0775871542594166,-1.2963573395115584,3.047047525960772,20,0.35,-0.032765880575749785,0.9533346842156765,-1.5186024306814594,2.6199337368664914
breakout,long,25.0,trail2.5,42,0.30952380952380953,0.8729050314493003,2.294618273219754,-1.420733437657136,3.398946669371168,20,0.3,0.008978597104189778,1.0122520340780707,-1.6172236934742397,2.979911706800195
breakout,long,25.0,trail3.0,42,0.2857142857142857,0.8424330558181752,2.175929527774635,-1.4326817331199397,3.459447695479595,20,0.25,0.3625621507040075,1.4773219620828488,-1.6172236934742397,3.5682916664617927
breakout,long,25.0,trail3.5,42,0.2857142857142857,0.7982326085989384,2.0954778649114454,-1.4434403416661388,3.5023092619242897,20,0.25,0.2966485635652972,1.3773206096972757,-1.6545103640043706,3.7167218312684582
