ticker,strategy,side,target_r,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
NVDA,pullback,long,1.5,B (thin),2,0.5,1.4583547265674874,0.21222084596749968,1.4105197223728496,0.0,1,1.0,1.4762855168130777,1.4762855168130777,99.0,0.0
NVDA,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0603502882144238,0.0,0.0
NVDA,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,retest,long,1.5,B (thin),13,0.3076923076923077,1.4806487554415222,-0.1921435511020349,0.7033575585560569,4.8724337321820865,4,0.5,1.4827469425751056,0.22970023998241268,1.4489197908526685,1.0112836678703037
NVDA,retest,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,retest,long,1.5,B (thin),7,0.8571428571428571,1.4721203452741312,1.111065896177298,8.370179281752995,1.055260798403702,5,0.6,1.4663615154986618,0.4697172860425375,2.145373610227791,1.0219544155635847
AAPL,retest,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,retest,long,1.5,B (thin),4,0.75,1.4756602223912072,0.8496125741117247,4.304180793461331,1.0285303707267226,6,0.0,0.0,-1.0241051078656407,0.0,5.114814019092478
GOOGL,retest,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,retest,long,1.5,B (thin),5,0.6,1.4750670228299472,0.4711995656216577,2.1386014588271434,2.0692032403815532,4,0.25,1.4562235918993187,-0.40060651875037384,0.47610015872620076,1.0164548167739673
GOOG,retest,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,pullback,long,1.5,B (thin),2,0.5,1.447159048881431,0.18507489082187223,1.343683005247582,1.0770092672376865,0,0.0,0.0,0.0,0.0,0.0
MSFT,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,breakout,long,1.5,B (thin),1,0.0,0.0,-1.0965082944703528,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,breakout,short,1.5,B (thin),1,1.0,1.4742936773720183,1.4742936773720183,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MSFT,retest,long,1.5,B (thin),7,0.42857142857142855,1.4513377787128023,0.01339949129840466,1.0220168224659623,4.260216897049574,0,0.0,0.0,0.0,0.0,0.0
MSFT,retest,short,1.5,B (thin),7,0.42857142857142855,1.4507470214092424,0.03182256137432123,1.0539432956520411,2.0571644389882664,5,0.2,1.4838226397080163,-0.5406934403939537,0.35436348946732343,3.124142840307099
AMZN,pullback,long,1.5,B (thin),1,1.0,1.3950706862421642,1.3950706862421642,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AMZN,retest,long,1.5,B (thin),12,0.4166666666666667,1.464304620373112,-0.0024786635687753336,0.9959538998429034,3.1326283426905817,5,0.2,1.4759580773964325,-0.533560382398638,0.35618811928676436,4.143759989389623
AMZN,retest,short,1.5,B (thin),4,0.0,0.0,-1.0270421268553847,0.0,3.0825663218138044,0,0.0,0.0,0.0,0.0,0.0
AVGO,pullback,long,1.5,B (thin),1,0.0,0.0,-1.0474824355798829,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,pullback,short,1.5,B (thin),1,1.0,1.4736014101953718,1.4736014101953718,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AVGO,retest,long,1.5,B,11,0.18181818181818182,1.468919113620068,-0.5721661757547902,0.3182348858970643,5.695239138299786,8,0.375,1.4795763455920004,-0.08884910402200122,0.8619691594162188,5.149521868952011
AVGO,retest,short,1.5,B (thin),1,1.0,1.4899127502193878,1.4899127502193878,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,pullback,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0330628666272565,0.0,0.0
TSLA,breakout,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
TSLA,retest,long,1.5,B (thin),6,0.5,1.4800448762301521,0.2303572090879049,1.4519774863347095,2.0394825685624083,3,0.3333333333333333,1.4805804883937697,-0.18243014635242805,0.7301157427483786,2.027870927451054
TSLA,retest,short,1.5,B (thin),1,0.0,0.0,-1.0152076562348562,0.0,0.0,3,0.3333333333333333,1.4948907446996293,-0.1857631396844671,0.7284403051463916,1.0462964037654985
MU,pullback,long,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,2,0.5,1.4831580185639481,0.2240607739878564,1.4329524231363895,0.0
MU,pullback,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,breakout,long,1.5,B (thin),1,0.0,0.0,-1.0271752550209508,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,breakout,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MU,retest,long,1.5,B (thin),4,0.75,1.4892456790753001,0.8615122522416534,4.372897512401963,1.0216880282592866,4,0.5,1.4795450942215478,0.2306690120403893,1.4530886080146719,1.0277666748437506
MU,retest,short,1.5,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BRK-B,pullback,long,1.5,B (thin),2,0.0,0.0,-1.0635945247441554,0.0,1.074544272996497,0,0.0,0.0,0.0,0.0,0.0
BRK-B,pullback,short,1.5,B (thin),1,1.0,1.4442569579176303,1.4442569579176303,99.0,0.0,0,0.0,0.0,0.0,0.0,0.0
