strategy,side,adx_min,exit,train_n,train_wr,train_exp,train_pf,train_mae,train_mfe,test_n,test_wr,test_exp,test_pf,test_mae,test_mfe
pullback,long,0,fixed2.0,1302,0.33947772657450076,-0.041187355944511186,0.9411609113524704,-1.5076281786932022,1.5753591853939664,610,0.33278688524590166,-0.05505019648813352,0.9217568463080142,-1.5019812856578703,1.4724233420977983
pullback,long,0,fixed3.0,1292,0.26702786377708976,-4.443568703921315e-05,0.9999427845723406,-1.6436178952805753,1.8490309565677159,603,0.2669983416252073,0.007094446022960376,1.0091768172234084,-1.6112655549310393,1.7255264083831239
pullback,long,0,trail2.5,1281,0.19047619047619047,0.05495482080484257,1.0615818193673,-1.810234339304723,3.0552762942357963,593,0.16863406408094436,-0.014511257947141275,0.9838658801060951,-1.7847864216821183,2.9201432029646996
pullback,long,0,trail3.0,1275,0.16470588235294117,0.08834685183430382,1.0960763158318048,-1.8587900051629582,3.224720364640047,591,0.15228426395939088,0.005497147918799427,1.0059000813832504,-1.8223715994922793,3.104384036382126
pullback,long,20,fixed2.0,272,0.375,0.061503754491500355,1.092576942397414,-1.4071578681467853,1.6774354893163188,109,0.26605504587155965,-0.25520202161894046,0.6702962952082272,-1.5251743658706944,1.3633598150648671
pullback,long,20,fixed3.0,272,0.3014705882352941,0.14238610743267685,1.191671181356377,-1.5405205201335752,2.0462078326821653,108,0.24074074074074073,-0.09046326945379812,0.8869783128874901,-1.553178669183743,1.563119681733513
pullback,long,20,trail2.5,271,0.2066420664206642,0.27735632756751816,1.3125965547273832,-1.8219166461007898,3.688317465456056,105,0.2,0.2536000223856623,1.2734490920282877,-1.7384544696931858,3.265571117205307
pullback,long,20,trail3.0,271,0.16236162361623616,0.0897123422063962,1.0960700506228007,-1.8874707868147411,3.725875579895144,105,0.17142857142857143,0.05858490018259623,1.0614742575220264,-1.7675469109254913,3.3322372922595345
pullback,long,25,fixed2.0,79,0.3924050632911392,0.10892702019862448,1.1677678556897806,-1.31196792882782,1.9159338111042685,28,0.2857142857142857,-0.20048255966456704,0.7352256344766314,-1.4390823874301504,1.2452101948775467
pullback,long,25,fixed3.0,79,0.34177215189873417,0.2988004379201435,1.4247948121380136,-1.4393960143479279,2.181815419787229,27,0.25925925925925924,-0.020982385746428796,0.9732785551402368,-1.4709573016244348,1.3922354486945017
