ticker,strategy,side,target_r,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
NVDA,pullback,long,2.0,B (thin),2,0.5,1.9583547265674874,0.4622208459674997,1.8941193900931899,0.0,1,1.0,1.9762855168130777,1.9762855168130777,99.0,0.0
NVDA,pullback,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,breakout,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0603502882144056,0.0,0.0
NVDA,breakout,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NVDA,retest,long,2.0,B (thin),13,0.3076923076923077,1.9806487550215786,-0.03829739773791962,0.9408742396266786,4.372433734382482,4,0.5,1.455396780010343,0.21602515870003125,1.4221935905245804,1.0112836678703037
NVDA,retest,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,pullback,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,breakout,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAPL,retest,long,2.0,B (thin),7,0.8571428571428571,1.972120344765197,1.5396373243124972,11.21307840345306,1.055260798403701,5,0.6,1.9663615154986618,0.7697172860425374,2.876903177647671,1.0219544155635847
AAPL,retest,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,pullback,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,breakout,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOGL,retest,long,2.0,B (thin),4,0.75,1.9756602202861953,1.2246125725329657,5.762572335779248,1.0285303707267226,6,0.0,0.0,-1.0241051078656407,0.0,5.114814019092478
GOOGL,retest,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,pullback,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,long,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,breakout,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
GOOG,retest,long,2.0,B (thin),5,0.4,1.9720537328980525,0.1711995656997937,1.2771915278397237,3.0881096372971366,4,0.25,1.9562235918993187,-0.27560651875037384,0.6395709888152925,1.0164548167739673
GOOG,retest,short,2.0,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
